Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
"Certificación en estándares de competencia del CONOCER, a través del ICATHI",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,30.0,2.0,0.0,Nivel 1,1.0,1,-0.10544674115023095
Inscripción UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,6.0,0.0,,1.0,1,0.4198024149220259
Inscripción a los cursos de capacitación presenciales del ICATHI,Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,60.0,1.0,1.0,Nivel 3.1,1.0,1,-0.28707914550998886
Titulación UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,518400.0,8.0,0.0,Nivel 3.9,1.0,0,0.48587315460169594
Emisión de constancias de estudio UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,10.0,1.0,0.0,Nivel 1,1.0,1,-0.26873974735285017
Certificado de Estudios UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,21600.0,1.0,0.0,Nivel 1,1.0,1,0.3087036960376015
Admisión- UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,1440.0,3.0,0.0,,1.0,1,0.22998397163531584
Historial Académico UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,180.0,1.0,0.0,Nivel 3.7,1.0,0,-0.4082464133348564
Titulación UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,7.0,2.0,Nivel 3.1,1.0,1,0.8690284291241523
Inscripción UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,5.0,0.0,Nivel 4.3,1.0,0,-0.5522459583410884
Credencialización UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,15.0,0.0,0.0,Nivel 3.5,1.0,0,-0.6790965496432699
Capacitación en elaboración de quesos y derivados lácteos.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,14400.0,1.0,1.0,Nivel 2,0.0,2,-0.2980177903607316
Constancia de Uso de Suelo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,3.0,1.0,Nivel 1,1.0,1,-0.09803208603009311
Inscripción a cursos de Educación Continua UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,4320.0,1.0,1.0,Nivel 2,1.0,1,0.15022086774164756
Servicio de Diseño de Imagen Corporativa o Logotipo,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,1440.0,1.0,0.0,,1.0,1,0.1345610515215638
Titulación UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,216000.0,6.0,0.0,Nivel 1,1.0,1,0.9398714679759399
Certificado Parcial de Estudios UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,7200.0,1.0,0.0,Nivel 3.9,1.0,0,-0.4757520419445003
Cursos de Verano (asignaturas) ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,21600.0,1.0,0.0,Nivel 1,1.0,1,0.3087036960376015
Constancia de estudios o Constancia de estudios con calificaciones UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,4320.0,1.0,0.0,Nivel 1,1.0,1,0.21729550070986225
Expedición de finiquito o Constancia de no adeudo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,20.0,3.0,1.0,Nivel 1,1.0,1,-0.11515379142272525
Inscripción UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,15.0,5.0,0.0,Nivel 3.1,1.0,1,-0.10025848897478373
Derecho de Preferencia,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,4.0,1.0,Nivel 1,1.0,1,0.09178635725661688
Derecho de Preferencia,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,25.0,4.0,1.0,,1.0,1,0.16518553157362287
Servicio: Asesoría especializada en Acompañamiento y Desarrollo Empresarial,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Constancia Escolar UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,0.0,Nivel 2,1.0,1,-0.2742688355809891
Elaboración de Escrituras - Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,40.0,4.0,1.0,Nivel 1,1.0,1,0.11310986777995558
Revalidación de Estudios de Educación Básica,Secretaría de Educación Pública,Instituto Hidalguense de Educación,2880.0,3.0,1.0,Nivel 2,1.0,1,0.1450502315250652
Escuelas de Iniciación Técnico Deportivas del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,3.0,1.0,Nivel 2,1.0,1,-0.24039146020731283
Credencial Escolar UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,1440.0,1.0,0.0,Nivel 1,1.0,1,0.06116187720455782
Captación de Leche en Centros de Acopio.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,0.0,1.0,Nivel 2,0.0,2,-0.550657936401317
"Publicación en el Periódico Oficial, que realizan los Municipios de instrumentos legales.",Secretaría de Gobierno,Secretaría de Gobierno,255.0,0.0,0.0,Nivel 1,1.0,1,0.2067394892448062
"Publicación en el Periódico Oficial, que realizan los Municipios de instrumentos legales.",Secretaría de Gobierno,Secretaría de Gobierno,255.0,0.0,0.0,,1.0,1,0.28013866356181216
Constancias de estudios con calificaciones de Primaria General,Secretaría de Educación Pública,Instituto Hidalguense de Educación,45.0,1.0,1.0,Nivel 2,0.0,2,-0.7810510280824021
Solicitud de Fichas de Ingreso UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,2880.0,3.0,1.0,Nivel 1,1.0,1,0.2184494058420712
Capacitación,Secretaría de Hacienda,Instituto Catastral,172800.0,1.0,1.0,,1.0,1,0.7164650485042048
Solicitud de factibilidad para la contratación del servicio de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,3.0,1.0,,1.0,1,0.23630851298410716
Cédula de Validación Estatal Impulso NAFIN-Hidalgo,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,1.0,1.0,Nivel 3.1,0.0,2,-0.9239204916641147
Por expedición de primeros y segundos testimonios,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,1,0.14088559287035513
Inscripción UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,30.0,3.0,1.0,Nivel 1,1.0,1,-0.09912219980143971
Financiamiento para Estudios de Nivel Superior,Secretaría de Educación Pública,Instituto Hidalguense de Financiamiento a la Educación Superior,2880.0,5.0,1.0,Nivel 1,1.0,1,0.4082678491287812
Talleres artísticos especializados del Centro de las Artes de Hidalgo.,Secretaría de Cultura,Consejo Estatal para la Cultura y las Artes de Hidalgo,14400.0,0.0,0.0,Nivel 1,1.0,1,0.3138020232451432
Expedición de Certificados Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,2.0,0.0,Nivel 1,1.0,1,-0.10544674115023095
Equivalencia de Estudios de tipo Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,5.0,1.0,Nivel 4.1,1.0,0,-0.25758531151225283
Acreditación de la Lengua Extranjera ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,34560.0,1.0,0.0,Nivel 1,1.0,1,0.34638132839814695
"Validación de trabajos con maquinaria pesada, para su ejecución mediante cuotas de recuperación.",Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Centro Estatal de Maquinaria para el Desarrollo,10080.0,0.0,1.0,Nivel 1,0.0,2,-0.25320997506587195
Cambio de nombre del titular de contrato de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,1.0,1.0,,1.0,1,0.14088559287035513
Expedición de Historial Académico Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,1,-0.20086966126398303
Constitución de Sociedades Cooperativas y Sociedades de Responsabilidad Limitada Microindustrial o Artesanal.,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,3.0,1.0,,0.0,2,-0.6083000485993446
Autorizaciones provisionales para profesionistas,Secretaría de Educación Pública,Secretaría de Educación Pública,60.0,9.0,2.0,Nivel 2,1.0,1,0.6791203208368624
"Titulación Nivel Licenciatura, Grado Académico Maestría y Especialidad UNIDEH.",Secretaría de Educación Pública,Universidad Digital del Estado de Hidalgo,30.0,4.0,0.0,,1.0,1,0.15777087645348506
Refrendo anual de registro de perito valuador,Secretaría de Hacienda,Instituto Catastral,172800.0,2.0,2.0,,1.0,1,1.2096374061477053
Becas Institucionales UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,87840.0,2.0,0.0,Nivel 1,0.0,2,-0.028160472852898577
Vinculación al Servicio Social y Prácticas Profesionales,Oficialía Mayor,Oficialía Mayor,7200.0,1.0,1.0,,0.0,2,-0.20678176374630292
Ficha para Examen de Admisión UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,80.0,2.0,0.0,Nivel 3.7,1.0,0,-0.6156422856239834
Expedición de Credencial Escolar Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,1,-0.20086966126398303
Inscripción registro de perito Topográfo (Catastral),Secretaría de Hacienda,Instituto Catastral,172800.0,1.0,2.0,Nivel 1,1.0,1,1.0408153117169474
Consulta Documental en temas de Población,Secretaría de Gobierno,Consejo Estatal de Población,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Atención jurídica en materia familiar.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,2,-0.6323051967478338
Historial Académico UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,0.0,Nivel 2,1.0,1,-0.2742688355809891
Información de Predios con Potencial para el Desarrollo de Parques Industriales.,Secretaría de Desarrollo Económico,Corporación de Fomento de Infraestructura Industrial,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Constancia de Estudios (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,7200.0,0.0,1.0,Nivel 1,1.0,1,0.26456424257435124
"Capacitaciones, platicas o talleres sobre el cuidado y la conservación de la biodiversidad",Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,1440.0,0.0,1.0,Nivel 1,0.0,2,-0.477258762084311
Estudio de prefactibilidad en polígonos para proyectos energéticos.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,36000.0,3.0,1.0,Nivel 1,1.0,1,0.4514012950310892
Servicios de Equinoterapia UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,60.0,3.0,0.0,Nivel 1,1.0,1,-0.051182418111016065
"Atención psicológica a mujeres en situación de violencia de género y, en su caso, a sus hijas e hijos menores de edad.",Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,2,-0.6323051967478338
Sanitarios con Biodigestor Para Población Indígena,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,3.0,1.0,,0.0,2,-0.308436667653553
Revalidación de Estudios de tipo Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,11520.0,5.0,1.0,Nivel 4.1,1.0,0,-0.21991046232728428
Arrendamiento de salas y espacios en el Parque Científico y Tecnológico de Hidalgo (PCYTH),Organismos No Sectorizados,"Consejo de Ciencia, Tecnología e Innovación de Hidalgo (CITNOVA)",1440.0,0.0,0.0,Nivel 1,1.0,1,0.06116187720455782
Atención jurídica en materia penal.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,2,-0.6323051967478338
Titulación Nivel Posgrado (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,345600.0,0.0,1.0,Nivel 1,1.0,1,0.6986335308504454
Monitoreo y opiniones técnica en materia de Biodiversidad,Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,1440.0,0.0,1.0,Nivel 1,0.0,2,-0.477258762084311
Asesoría para la Inversión de Desarrollos Industriales Específicamente en Parques Industriales y Logísticos.,Secretaría de Desarrollo Económico,Corporación de Fomento de Infraestructura Industrial,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Dictamen de Convalidación ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,15840.0,4.0,1.0,Nivel 1,1.0,1,0.613008202413633
Certificado Parcial de Estudios (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,7200.0,0.0,1.0,Nivel 1,1.0,1,0.26456424257435124
Jardines Polinizadores ó farmacias vivientes,Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,1440.0,0.0,1.0,Nivel 2,0.0,2,-0.550657936401317
Asesoría y Capacitación en Materia de Contraloría Social,Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Centros de Atención Infantil (CAI),Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,6.0,0.0,,0.0,2,-0.12494276571563423
Registro de Organizaciones de la Sociedad Civil de Asistencia Social,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,4.0,4.0,,0.0,2,0.672035810254983
Servicio Social DIF,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,0.0,,0.0,2,-0.3147612090023443
Prevención Social de la Violencia y la Delincuencia.,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,8640.0,1.0,1.0,Nivel 1,0.0,2,-0.26556652698782657
Renovación anual del registro estatal de consultores en materia de protección civil,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,1,0.3642697290009016
"Por la Suscripción al Periódico Oficial, por ejercicio fiscal vigente.",Secretaría de Gobierno,Secretaría de Gobierno,480.0,0.0,0.0,Nivel 1,1.0,1,0.25730032678752385
Expedición de Registro de Personal Docente de instituciones particulares de educación superior,Secretaría de Educación Pública,Secretaría de Educación Pública,14400.0,4.0,1.0,Nivel 4.1,1.0,0,-0.20202298949266956
Casa de la Mujer Hidalguense,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,180.0,4.0,0.0,,0.0,2,-0.007157661719000341
"Reporte de violencia o maltrato en contra de Niñas, Niños y Adolescentes",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Autorización Para el Uso y Aprovechamiento del Derecho de Vía Estatal,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,35.0,7.0,1.0,Nivel 1,1.0,1,0.31249332246343153
Expedición de Oficio de Afectación o no Afectación del Derecho de Vía,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,2.0,1.0,Nivel 1,0.0,2,-0.6427772666677533
Expedición de Oficio de Afectación de Vialidades y Señalamiento por Accidentes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,2.0,1.0,Nivel 1,1.0,1,-0.11515379142272525
Expedición Tarjeta Preferente Tuzobús para Personas con Discapacidad,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,20.0,2.0,1.0,Nivel 1,1.0,1,-0.11515379142272525
"Por la certificación, expedición y entrega de un ejemplar del Periódico Oficial del Estado.",Secretaría de Gobierno,Secretaría de Gobierno,480.0,0.0,0.0,Nivel 3.7,1.0,0,-0.3298930677485243
Devolución Vehículos Recuperados,Procuraduría General de Justicia,Procuraduría General de Justicia,4320.0,5.0,0.0,Nivel 3.1,0.0,2,-0.18900666516134784
Convocatoria del Instituto de Formación Profesional,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,64800.0,15.0,3.0,Nivel 1,0.0,2,1.3208564102329217
Inscripción al Padrón de Contratistas (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,21600.0,0.0,0.0,Nivel 1,1.0,1,0.3087036960376015
Inscripción al Padrón de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,1.0,1,0.1345610515215638
Revalidación del Registro de Contratistas (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,1.0,1,0.1345610515215638
