Idtram,Tramite,Secretaria,Dependencia,Domicilio,TraPersona,Tiempo_en_minutos,N_FORMATOS_FINAL,CONTEO_NETO,nivel_digitalizacion,TraResolucionesFavorables,TraResolucionesNegativas,Porcentaje_Efectividad,TraCosto,,N
494,Ayudas Técnicas,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard S/N El Palmar 42080 Pachuca De Soto Pachuca De Soto,Social,,0,0,Nivel 1,1685,0,100,FALSO,,0
500,Servicio de Atención Psicológica,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,Social,,0,0,Nivel 1,9689,0,100,FALSO,,0
502,Servicio de Estacionamiento Plaza Independencia Reloj Monumental,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle S/N Centro 42000 Pachuca De Soto Pachuca De Soto,Social,,0,0,,2671,0,100,FALSO,,0
553,Licencia de Uso de Suelo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,30,2,8,Nivel 1,16,0,100,VERDADERO,,10
560,Taller Laboratorio de Órtesis y Prótesis,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard S/N El Palmar 42088 Pachuca De Soto Pachuca De Soto,Social,,0,2,Nivel 1,1230,0,100,FALSO,,2
564,Consulta Médica en el Servicio de Urgencias en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,,0,1,Nivel 1,4250,0,100,FALSO,,1
587,Por actualización o reexpedición de órdenes de escrituración,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,4,,0,0,0,VERDADERO,,5
590,Autorización de Fusión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,20,1,7,Nivel 1,2,0,100,VERDADERO,,8
592,Autorización de Subdivisión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,25,2,6,Nivel 1,2,2,50,VERDADERO,,8
602,Autorización de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,30,1,14,Nivel 1,2,0,100,VERDADERO,,15
606,Por trámite de avalúo y traslado de Dominio de la Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,5,,3,0,100,VERDADERO,,6
609,Entrega de paquetes de Conejos.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,"Carretera S/N Venta Prieta, Ex Centro Minero 42080 Pachuca De Soto Pachuca De Soto",Ambos,2880,1,1,Nivel 2,35,0,100,FALSO,,2
616,Albergue del Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,,0,0,Nivel 1,531,0,100,FALSO,,0
617,Autorización de Relotificación de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,20,1,8,Nivel 1,2,0,100,VERDADERO,,9
618,Alerta AMBER en Hidalgo,Procuraduría General de Justicia,Procuraduría General de Justicia,Carretera km. 84.5 La Herradura 42083 Pachuca De Soto Pachuca De Soto,Social,10,0,4,Nivel 3.5,0,0,0,FALSO,,4
620,Autorización de Protocolización,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,20,1,4,Nivel 1,1,0,100,FALSO,,5
621,Autorización de Venta de Lotes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,25,1,10,Nivel 1,103,1,99.03846154,VERDADERO,,11
622,Autorización de Régimen de Propiedad en Condominio,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,30,1,11,Nivel 1,31,0,100,VERDADERO,,12
629,Inscripción UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,Avenida 1000 El 61 42830 El Carmen (La Mesita) Tula De Allende,Social,15,0,3,Nivel 1,2058,0,100,VERDADERO,,3
632,Búsqueda de documentos en archivo y expedición de copias,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,15,1,1,,24,0,100,VERDADERO,,2
633,Expedición de constancias de Propiedad y/o Posesión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,4,,0,0,0,VERDADERO,,5
639,Dictamen de Estudio de impacto Urbano y Vial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,30,1,4,Nivel 1,11,0,100,VERDADERO,,5
640,Reposición de Acta Entrega,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,3,Nivel 1,124,13,90.51094891,VERDADERO,,4
642,Copias Certificadas y Simples,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,20,1,1,Nivel 1,0,0,0,VERDADERO,,2
646,Copia de Plano,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,1,,1,0,100,VERDADERO,,2
648,Elaboración de Croquis de Localización por Lote,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,1,,14,0,100,VERDADERO,,2
659,Marcado de lotes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,1,,0,0,0,VERDADERO,,2
662,Entrega física del lote por segunda vez,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,1,,5,0,100,VERDADERO,,2
668,Levantamiento Topográfico,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,1,,24,0,100,VERDADERO,,2
674,Capacitación Acuícola y Pesquera,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,Carretera S/N Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,43200,1,0,Nivel 2,28,0,100,FALSO,,1
706,Admisión UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Carretera S/N El Nith 42300 Ixmiquilpan Ixmiquilpan,Social,1440,0,1,Nivel 1,1196,0,100,VERDADERO,,1
738,Solicitud de baja temporal ó toma muerta del servicio de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,Calle 27 Segunda Demarcación 42660 Tepatepec Francisco I. Madero,Social,,1,0,,39,1,97.5,FALSO,,1
740,Director Responsable y Corresponsable Modalidad Registro de DRyC,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Social,30,2,5,Nivel 1,48,0,100,VERDADERO,,7
751,Instalación física de toma de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,Calle 27 Segunda Demarcación 42660 Tepatepec Francisco I. Madero,Social,,0,1,,21,21,50,FALSO,,1
