Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z
Solicitud de Fichas de Ingreso UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,2880.0,3.0,1.0,Nivel 1,1.0,1,0.14554543548965787
Capacitación,Secretaría de Hacienda,Instituto Catastral,172800.0,1.0,1.0,,1.0,1,0.5022481044900013
Solicitud de factibilidad para la contratación del servicio de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,3.0,1.0,,1.0,1,0.1598327212032866
Cédula de Validación Estatal Impulso NAFIN-Hidalgo,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,1.0,1.0,Nivel 3.1,0.0,2,-0.8100603276446542
Por expedición de primeros y segundos testimonios,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,1,0.04178453998292173
Inscripción UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,30.0,3.0,1.0,Nivel 1,1.0,1,-0.10851184902515087
Financiamiento para Estudios de Nivel Superior,Secretaría de Educación Pública,Instituto Hidalguense de Financiamiento a la Educación Superior,2880.0,5.0,1.0,Nivel 1,1.0,1,0.38037079993423
Talleres artísticos especializados del Centro de las Artes de Hidalgo.,Secretaría de Cultura,Consejo Estatal para la Cultura y las Artes de Hidalgo,14400.0,0.0,0.0,Nivel 1,1.0,1,0.17694726033953273
Expedición de Certificados Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,2.0,0.0,Nivel 1,1.0,1,-0.1167419060474034
Equivalencia de Estudios de tipo Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,5.0,1.0,Nivel 4.1,1.0,0,-0.15231172857859732
Acreditación de la Lengua Extranjera ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,34560.0,1.0,0.0,Nivel 1,1.0,1,0.20301070446193573
"Validación de trabajos con maquinaria pesada, para su ejecución mediante cuotas de recuperación.",Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Centro Estatal de Maquinaria para el Desarrollo,10080.0,0.0,1.0,Nivel 1,0.0,2,-0.27349191436605996
